"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
142665,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20 15:13:44","Mantys"
1598650,"Analytics Engineer - Playback Data (L5)","Anywhere","Full-time","445000.0","2025-06-10 16:02:43","Netflix"
1241985,"Analytics Engineer (L5) - Live Quality of Experience","Anywhere","Full-time","445000.0","2024-12-01 09:02:08","Netflix"
1283788,"Analytics Engineer (L5) - Live Quality of Experience","Anywhere","Full-time","445000.0","2025-01-04 10:01:54","Netflix"
1009426,"Financial & Data Analyst - Pricing (12 months Contract)","Anywhere","Full-time and Contractor","385000.0","2024-05-12 16:32:34","Siemens"
517098,"Director of Analytics","Anywhere","Full-time","336500.0","2023-08-23 12:04:42","Meta"
1213707,"Director of Engineering - Analytics","Anywhere","Full-time","296910.0","2024-10-08 13:45:36","Confluent"
1274698,"Data Analyst","Anywhere","Full-time","264000.0","2024-12-31 06:39:25","Edge & Node"
1269865,"Data Analyst","Anywhere","Full-time","264000.0","2024-12-29 06:44:00","Edge & Node"
374858,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:37:49","AT&T"
